id,title,created_at,description,duration,rating,thumbnail_url,updated_at,video_url,release_year,cast,director,additional_context,categoryId,key_highlights,show,products_reviewed
3,LXR,2025-03-05 15:08:07.006,"The NASCAR Premium Cleaning Kit is a complete automotive care package featuring six specialized products designed to clean and maintain both the interior and exterior of vehicles. This all-in-one set includes car wash pods, an odor eliminator, wheel and tire cleaner, a 5-in-1 interior detailer, glass and dashboard cleaner, and a limited-edition 75th anniversary air freshener.  ","",4.7,https://blck-videos.s3.us-east-1.amazonaws.com/thumbnails/cfe597f6-32c0-499b-854f-29b9df13e88a.jpg,2025-03-05 15:36:19.915,https://blck-videos.s3.us-east-1.amazonaws.com/hls-videos/_LXR/_LXR.m3u8,0,"","",- Supports domestic violence survivors through Healing Well and Living Free Foundation,1,"- All-in-one car cleaning solution replacing multiple products  
- Certified non-toxic and environmentally friendly  
- Contains no petroleum distillates  
- Readily biodegradable formula  
- Acrylic formula creates a water-sheeting effect  
- Renews clear protective coating with each wash  
- Removes oxidation and surface damage  
- Compatible with various surfaces including fiberglass, leather, vinyl, plastic, and painted wheels  
- Works effectively with cold or warm water  
- Reduces the need for drying towels",Lustre Lab LXR,Lustre Lab LXR
2,Inshield Wiper,2025-03-05 15:06:17.926,"The InShield Wiper and Washer is a high-quality cleaning kit designed for windshields, glass surfaces, and electronic screens. It includes a hand-mounted microfiber cleaning pad and a specialized cleaning solution that removes 99% of bacteria without using harsh chemicals. ","",4.7,https://blck-videos.s3.us-east-1.amazonaws.com/thumbnails/b6a3570a-b58a-4f5f-ad69-49ea648aa6c0.jpg,2025-03-05 15:37:38.346,https://aquapaw.media-storage.us-west.qencode.com/_AQUAPAW/playlist.m3u8,0,"","",- Company is majority women-owned and WBENC & WOSB certified,1,"- Premium microfiber hand-mounted wiper for efficient cleaning  
- Machine washable and reusable design  
- Patented triple-layer construction for durability  
- 16-ounce cleaning solution with eco-friendly ingredients  
- No ammonia, phosphates, dyes, or sodium lauryl sulfate  
- Essential oil-based citrus scent  
- Removes 99% of bacteria without harsh chemicals  
- Safe for electronic screens, glass, mirrors, and stainless steel",InShield Wiper and Washer,Inshield Wiper
4,NASCAR Car Wash,2025-03-05 15:09:09.118,"The NASCAR Premium Cleaning Kit is a complete automotive care package featuring six specialized products designed to clean and maintain both the interior and exterior of vehicles. This all-in-one set includes car wash pods, an odor eliminator, wheel and tire cleaner, a 5-in-1 interior detailer, glass and dashboard cleaner, and a limited-edition 75th anniversary air freshener.  ","",4.7,https://blck-videos.s3.us-east-1.amazonaws.com/thumbnails/b26b0718-e43b-4b3e-8f9b-41c3727d6a3e.jpg,2025-03-05 15:29:34.207,https://blck-videos.s3.us-east-1.amazonaws.com/hls-videos/_NASCAR/_NASCAR.m3u8,0,"","","- Unique selling points: versatile, eco-friendly, and supports a social cause",1,"- NASCAR-branded premium automotive cleaning kit  
- 6-in-1 car care solution for interior and exterior maintenance  
- Environmentally friendly formulas with no harsh chemicals  
- Car wash pods dissolve quickly and work with multiple washing methods  
- pH-neutral wheel and tire cleaner safe for various surfaces  
- Interior detailer suitable for leather, screens, and dashboards  
- Streak-free, ammonia-free glass cleaner safe for tinted windows  
- Includes a 75th anniversary air freshener with Moonshine Frost scent  
- Proceeds support Victory Junction charity",NASCAR Premium Cleaning Kit,NASCAR Premium Cleaning Kit
6,Air Feet Insole Demonstration,2025-03-07 12:41:14.373,"In this episode of Test Drive Live, host James Sang Lee introduced Air Feet, an innovative insole designed for comfort and relief. The presentation highlighted Air Feet's patented active gel technology, which dynamically moves with the foot to provide a therapeutic, massage-like experience. James showcased different models, including Classic, Fashion, Outdoor, and Relief versions, each tailored for specific footwear needs. He emphasized the product’s thin design, universal compatibility, and machine-washable feature. A hands-on demonstration showed how to trim the insoles for a custom fit, and user testimonials praised Air Feet’s ability to reduce foot pain and enhance comfort. The episode wrapped up with James sharing his own experience and encouraging viewers to try the insoles for the recommended two to three-week adjustment period.","",4.7,https://blck-videos.s3.us-east-1.amazonaws.com/thumbnails/810b00c0-2514-4833-a5f8-eecadbe1ed3a.jpg,2025-03-07 12:41:14.373,https://blck-videos.s3.us-east-1.amazonaws.com/hls-videos/_NASCAR/_NASCAR.m3u8,0,"","","James provided a thorough hands-on demonstration, making it easy for viewers to understand the benefits of Air Feet insoles. The episode aimed to help consumers find the right insole for their needs while emphasizing long-term comfort and pain relief.",2,"- Patented active gel technology for dynamic foot support
    - Multiple models designed for different shoe types and uses
    - Thin, machine-washable design compatible with all shoes
    - Demonstration of trimming insoles for a custom fit
    - User testimonials on pain relief and comfort improvement
    - Recommended two to three-week adjustment period","Air Feet Insoles (Classic, Fashion, Outdoor, Relief)",Air Feet Insole Demonstration
7,Audion Adam Hearing Aids Demonstration,2025-03-07 12:46:35.247,"In this episode of Test Drive Live, hosts Jana and Jean discussed the Audion Adam hearing aids, showcasing two models: the Adam 2 and the Adam Pro 2. Jean shared personal experiences with hearing loss and how these devices improved her daily life. The Adam 2, priced at $189 per pair, offers four hearing modes, while the Adam Pro 2 includes advanced background noise cancellation and built-in UV cleaning. The hosts demonstrated product features, including charging mechanisms, accessories, and hearing modes. They also shared testimonials and real-life applications in settings like watching TV, social gatherings, and church services. The discussion emphasized the affordability of these devices compared to traditional hearing aids, which typically cost $5,000-$7,000.","",4.7,https://blck-videos.s3.us-east-1.amazonaws.com/thumbnails/67bf781b-543e-4ef5-b652-53385260a1b3.jpg,2025-03-07 12:47:02,https://blck-videos.s3.us-east-1.amazonaws.com/hls-videos/_SEAT_ARMOURS/_SEAT_ARMOURS.m3u8,0,"","","The episode provided an in-depth look at how Audion Adam hearing aids enhance daily life through affordability and advanced features. Jean’s personal experience added a relatable touch, making it easier for viewers to understand the benefits of these devices.",2,"- Two models: Adam 2 ($189 per pair) and Adam Pro 2 (advanced noise cancellation, UV cleaning)
    - Demonstration of product features, charging, and hearing modes
    - Real-life applications: watching TV, social gatherings, church services
    - Positive feedback from over 500,000 customers
    - Comparison with traditional hearing aids costing $5,000-$7,000","Audion Adam 2, Audion Adam Pro 2",Audion Adam Hearing Aids Demonstration
5,Seat Armor,2025-03-05 15:10:29.318,"Seat Armor offers a comprehensive line of vehicle protection products designed to shield car seats, consoles, and interiors from spills, stains, odors, sweat, pet hair, and scratches. Compatible with GM, Ford, and Mopar vehicles, these protective accessories provide convenience, comfort, and durability for daily use.","",4.7,https://blck-videos.s3.us-east-1.amazonaws.com/thumbnails/82dcf8a6-26f9-4ab3-b2b1-2e2c2f35b008.jpg,2025-03-07 13:00:16.537,https://blck-videos.s3.us-east-1.amazonaws.com/hls-videos/_SEAT_ARMOURS/_SEAT_ARMOURS.m3u8,0,"","","Unique Selling Points:  
- Protects against everyday wear and tear  
- Designed for pet owners, sports enthusiasts, and families  
- Simple installation and removal for on-the-go convenience  
- Versatile use for multiple vehicle types and situations",1,"- Multi-product vehicle protection line  
- Shields seats from stains, sweat, and pet damage  
- Easy-to-install, machine-washable materials  
- Officially licensed for GM, Ford, and Mopar vehicles  
- Available in multiple colors and sizes","Car Seat Towel, Console Cover, Pet Bed to Go, Seat Covers",Seat Armor
8,Boss Pickle Training Products Demonstration,2025-03-07 12:49:27.012,"""In this live demonstration, James Sangley and Tina Aldrich introduced Boss Pickle's training products designed for pickleball players. The session highlighted two key products: the Dink Trainer and the Drop Trainer. James, an experienced tennis and pickleball player, and Tina, a newcomer to the sport, demonstrated how these trainers can help players of all skill levels improve their game.

The Dink Trainer is designed for controlled, close-range shots (easy difficulty), while the Drop Trainer is tailored for longer shots (medium difficulty). The hosts provided setup guidance, explaining how attaching the device to the lower third of the paddle ensures optimal performance. They also demonstrated how the tension relief cord mimics natural ball movement, making these trainers versatile for use at home, in offices, and outdoor spaces.""","",4.9,https://blck-videos.s3.us-east-1.amazonaws.com/thumbnails/06f3116b-553f-4cd2-83e3-fa0e461d5d5f.jpg,2025-03-07 12:49:27.012,https://blck-videos.s3.us-east-1.amazonaws.com/hls-videos/_INSHIELD/_INSHIELD.m3u8,0,"","","This demonstration provided valuable insights for both beginners and experienced pickleball players, showcasing how Boss Pickle’s training tools enhance skill development and accessibility in the sport.",2,"- Dink Trainer: Helps with short, controlled shots (easy difficulty)
    - Drop Trainer: Improves longer shots (medium difficulty)
    - Attaches to pickleball paddles for at-home or on-the-go training
    - Tension relief cord mimics real ball movement
    - Portable and suitable for various locations (homes, offices, outdoor spaces)","Boss Pickle Dink Trainer, Boss Pickle Drop Trainer",Boss Pickle Training Products Demonstration
9,Buddy Patch XL,2025-03-07 12:51:45.933,"Join Tina as she explores the Buddy Patch XL, a beltless, lightweight, and water-resistant pouch designed for people on the go. With its innovative magnetic clip and dry-fit fabric, this pouch keeps your essentials secure without bouncing or chafing.","",4.8,https://blck-videos.s3.us-east-1.amazonaws.com/thumbnails/4da54b84-9357-4e33-a22b-dd4ef2c0ff12.jpg,2025-03-07 12:51:45.933,https://blck-videos.s3.us-east-1.amazonaws.com/hls-videos/_INSHIELD/_INSHIELD.m3u8,0,"","","Additional Context: Tina demonstrates the practicality of the Buddy Patch XL, emphasizing its convenience for carrying only the essentials while staying active. She highlights its dry-fit material, which prevents moisture from reaching valuables like phones and papers.",2,"- Beltless design with a magnetic clip for easy attachment
    - Water-resistant inner pouch to keep essentials dry
    - Lightweight and bounce-free, ideal for active lifestyles
    - Fits various phone sizes, including larger smartphones and flip phones
    - Perfect for activities like skating, gardening, and outdoor adventures",Buddy Patch XL,Buddy Patch XL
10,Lutava Charcoal Activated Bath Towel Demonstration,2025-03-07 13:15:28.061,"In this episode of Test Drive Live, host Tina introduced the Lutava Charcoal Activated Bath Towel, highlighting its unique features and benefits. She shared her personal experience, praising its effectiveness for hot yoga sessions and suitability for her son with eczema. Casey, the founder of Lutava, explained the technology behind the Fit Shield fabric, which has been tested to eliminate 99% of harmful bacteria and viruses, including norovirus, bird flu, influenza A, SARS, and COVID-19. Made of 35% charcoal viscose and 65% long staple cotton, the towel offers antimicrobial properties, quick drying, and odor resistance. Tina demonstrated its ability to be used 100 times before washing, its skin benefits, and its eco-friendly design. The episode concluded with user testimonials and a discussion on Lutava’s commitment to safer, healthier products.","",4.8,https://blck-videos.s3.us-east-1.amazonaws.com/thumbnails/b0794c7f-1a2a-46e4-b947-bfba3bd6e376.jpg,2025-03-07 13:15:28.061,https://blck-videos.s3.us-east-1.amazonaws.com/hls-videos/_LXR/_LXR.m3u8,0,"","","The episode showcased Lutava’s innovation in hygiene and sustainability, emphasizing its real-world benefits through Tina’s personal experience and expert insights from founder Casey.",2,"- Features Fit Shield fabric, eliminating 99% of bacteria and viruses
    - Made of 35% charcoal viscose and 65% long staple cotton
    - Quick-drying, antimicrobial, and odor-resistant
    - Usable 100 times before washing
    - Ideal for hot yoga and sensitive skin (eczema-friendly)
    - Eco-friendly design
    - User testimonials on effectiveness",Lutava Charcoal Activated Bath Towel Demonstration," BLCK video progress BLCK video progress 100% 10 _DREAMTRIPS 1 of 2 B48 _DREAMTRIPS.mp4  F14  Lutava Charcoal Activated Bath Towel Demonstration      	 Lutava Charcoal Activated Bath Towel Demonstration Turn on screen reader support   To enable screen reader support, press ⌘+Option+Z To learn about keyboard shortcuts, press ⌘slash4 collaborators have joined the document."
11,Med7 Hemp Oil Product ,2025-03-07 13:21:02.929,"In this product review meeting, Tina from Test Drive Live provided an in-depth evaluation of Med7 Hemp Oil products. With experience using CBD products since 2015, she conducted a live test of various Med7 offerings. She detailed her friend’s positive experience with back pain relief using Med7’s full-spectrum hemp oil and topical cream. Key features highlighted included the proprietary HempZorb 81 technology with 85% bioavailability, product options for sleep (with and without melatonin), and multiple delivery methods, such as oils, topicals, and gummies. Tina also discussed Med7’s patent-pending COVID treatment application, personally tested energy and recovery shots, and shared customer testimonials, including feedback from a cat owner in Minnesota. The review concluded with Tina giving Med7 a 4.8 out of 5 rating.","",4.8,https://blck-videos.s3.us-east-1.amazonaws.com/thumbnails/d6d956fe-5072-4f3f-b6e2-d263daea6a3e.jpg,2025-03-07 13:21:02.929,https://blck-videos.s3.us-east-1.amazonaws.com/hls-videos/_NASCAR/_NASCAR.m3u8,0,"","","Tina’s hands-on testing and real-world experiences, combined with expert insights into Med7’s advanced formulations, made this review highly informative for viewers looking for reliable CBD options.",2,"- HempZorb 81 technology with 85% bioavailability
    - Full-spectrum hemp oil & topical cream for pain relief
    - Product options for sleep, with and without melatonin
    - Multiple delivery methods: oils, topicals, gummies
    - Patent-pending COVID treatment application
    - Personal tests & live demonstrations by Tina
    - Customer testimonials, including a cat owner’s experience in Minnesota","Med7 Full-Spectrum Hemp Oil, Med7 Topical Cream, Med7 Energy & Recovery Shots, Med7 Gummies",Med7 Hemp Oil Product
